,,,,,,,,,,,,
Quality Control Table,,,,,,,,,,,,
Kit ID,NMID,Client Label,Sample Type,Volume Filtered,Date Received,DNA Amplified,Sequencing QC,Target OTUs Detected,% Target,% Non-Target,Reported,Comment
SSC-01-01080,29237,2023 C BP1 P1 S2,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01082,29238,2023 C BP1 P1 S3,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01083,29239,2023 C BP1 P1 S5,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01085,29240,2023 C BP1 P2 S2,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01089,29241,2023 C BP1 P2 S5,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01077,29234,2023 C BP1 P3 S1,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01079,29236,2023 C BP1 P3 S2,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01091,29243,2023 C BP1 P3 S3,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01078,29235,2023 C BP1 P3 S4,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-01090,29242,2023 C BP1 P3 S5,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00742,29254,2023 C IG P1 S1,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00745,29257,2023 C IG P1 S2,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00744,29256,2023 C IG P1 S3,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00743,29255,2023 C IG P1 S4,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00746,29258,2023 C IG P1 S5,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00741,29253,2023 C IG P2 S1,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00735,29247,2023 C IG P2 S2,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00737,29249,2023 C IG P2 S3,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00740,29252,2023 C IG P2 S4,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00739,29251,2023 C IG P2 S5,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00738,29250,2023 C IG P3 S1,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00736,29248,2023 C IG P3 S2,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
SSC-01-00732,29244,2023 C IG P3 S3,Client Sample,NA,14/3/23,Yes,Yes,Yes,100,0,Yes,Sample reported
