,,,,,,,,,,,,
Quality Control Table,,,,,,,,,,,,
Kit ID,NMID,Client Label,Sample Type,Volume Filtered,Date Received,DNA Amplified,Sequencing QC,Target OTUs Detected,% Target,% Non-Target,Reported,Comment
SSC-01-00880,30161,2023 E DH1 P1 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,92.8,7.2,Yes,Sample reported
SSC-01-00872,30202,2023 E DH1 P10 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,94.3,5.7,Yes,Sample reported
SSC-01-00873,30203,2023 E DH1 P10 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,59.8,40.2,Yes,Sample reported
SSC-01-00874,30204,2023 E DH1 P10 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,78,22,Yes,Sample reported
SSC-01-00875,30205,2023 E DH1 P10 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,94.7,5.3,Yes,Sample reported
SSC-01-00812,30206,2023 E DH1 P10 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,72.4,27.6,Yes,Sample reported
SSC-01-00834,30162,2023 E DH1 P2 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,95,5,Yes,Sample reported
SSC-01-00881,30163,2023 E DH1 P2 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,80.2,19.8,Yes,Sample reported
SSC-01-00839,30164,2023 E DH1 P2 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,28.3,71.7,Yes,Sample reported
SSC-01-00831,30165,2023 E DH1 P2 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,75.3,24.7,Yes,Sample reported
SSC-01-00879,30166,2023 E DH1 P2 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,95.9,4.1,Yes,Sample reported
SSC-01-00803,30167,2023 E DH1 P3 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,55.2,44.8,Yes,Sample reported
SSC-01-00820,30168,2023 E DH1 P3 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,49,51,Yes,Sample reported
SSC-01-00823,30169,2023 E DH1 P3 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,42.1,57.9,Yes,Sample reported
SSC-01-00877,30170,2023 E DH1 P3 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,96.3,3.7,Yes,Sample reported
SSC-01-00858,30171,2023 E DH1 P3 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,67.5,32.5,Yes,Sample reported
SSC-01-00876,30172,2023 E DH1 P4 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,59.5,40.5,Yes,Sample reported
SSC-01-00816,30173,2023 E DH1 P4 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,40.6,59.4,Yes,Sample reported
SSC-01-00815,30174,2023 E DH1 P4 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,67.3,32.7,Yes,Sample reported
SSC-01-00817,30175,2023 E DH1 P4 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,46.4,53.6,Yes,Sample reported
SSC-01-00814,30176,2023 E DH1 P4 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,18.7,81.3,Yes,Sample reported
SSC-01-00841,30177,2023 E DH1 P5 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,54.5,45.5,Yes,Sample reported
SSC-01-00805,30178,2023 E DH1 P5 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,81.9,18.1,Yes,Sample reported
SSC-01-00821,30179,2023 E DH1 P5 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,22.6,77.4,Yes,Sample reported
SSC-01-00836,30180,2023 E DH1 P5 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,90.8,9.2,Yes,Sample reported
SSC-01-00840,30181,2023 E DH1 P5 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,90.1,9.9,Yes,Sample reported
SSC-01-00800,30182,2023 E DH1 P6 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,38.6,61.4,Yes,Sample reported
SSC-01-00796,30183,2023 E DH1 P6 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,48.4,51.6,Yes,Sample reported
SSC-01-00837,30184,2023 E DH1 P6 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,62.3,37.7,Yes,Sample reported
SSC-01-00838,30185,2023 E DH1 P6 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,91.9,8.1,Yes,Sample reported
SSC-01-00819,30186,2023 E DH1 P6 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,95,5,Yes,Sample reported
SSC-01-00870,30187,2023 E DH1 P7 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,83.2,16.8,Yes,Sample reported
SSC-01-00871,30188,2023 E DH1 P7 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,57.9,42.1,Yes,Sample reported
SSC-01-00802,30189,2023 E DH1 P7 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,43.8,56.2,Yes,Sample reported
SSC-01-00818,30190,2023 E DH1 P7 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,20.4,79.6,Yes,Sample reported
SSC-01-00828,30191,2023 E DH1 P7 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,71.1,28.9,Yes,Sample reported
SSC-01-00832,30192,2023 E DH1 P8 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,96.5,3.5,Yes,Sample reported
SSC-01-00830,30193,2023 E DH1 P8 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,15.3,84.7,Yes,Sample reported
SSC-01-00822,30194,2023 E DH1 P8 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,86.6,13.4,Yes,Sample reported
SSC-01-00825,30195,2023 E DH1 P8 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,87,13,Yes,Sample reported
SSC-01-00826,30196,2023 E DH1 P8 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,73.8,26.2,Yes,Sample reported
SSC-01-00829,30197,2023 E DH1 P9 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,15.7,84.3,Yes,Sample reported
SSC-01-00835,30198,2023 E DH1 P9 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,10.6,89.4,Yes,Sample reported
SSC-01-00824,30199,2023 E DH1 P9 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,0,100,Yes,"Sample reported, no target species detected"
SSC-01-00833,30200,2023 E DH1 P9 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,89.7,10.3,Yes,Sample reported
SSC-01-00878,30201,2023 E DH1 P9 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,0.3,99.7,Yes,Sample reported
SSC-01-01193,30299,2023 E FO1 P1 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,56.5,43.5,Yes,Sample reported
SSC-01-01202,30320,2023 E FO1 P1 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,67.9,32.1,Yes,Sample reported
SSC-01-01197,30294,2023 E FO1 P1 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,26.9,73.1,Yes,Sample reported
SSC-01-01203,30301,2023 E FO1 P1 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,51.8,48.2,Yes,Sample reported
SSC-01-01198,30317,2023 E FO1 P1 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,40.7,59.3,Yes,Sample reported
SSC-01-01199,30307,2023 E FO1 P2 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,87.5,12.5,Yes,Sample reported
SSC-01-01205,30311,2023 E FO1 P2 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,42.8,57.2,Yes,Sample reported
SSC-01-01196,30309,2023 E FO1 P2 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,61.7,38.3,Yes,Sample reported
SSC-01-01204,30298,2023 E FO1 P2 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,75.3,24.7,Yes,Sample reported
SSC-01-01201,30303,2023 E FO1 P2 S5,Client Sample,NA,20/4/23,Yes,Yes,Yes,20.1,79.8,Yes,Sample reported
SSC-01-00885,30292,2023 E FO1 P3 S1,Client Sample,NA,20/4/23,Yes,Yes,Yes,7.1,92.9,Yes,Sample reported
SSC-01-01208,30319,2023 E FO1 P3 S2,Client Sample,NA,20/4/23,Yes,Yes,Yes,70.6,29.4,Yes,Sample reported
SSC-01-01206,30315,2023 E FO1 P3 S3,Client Sample,NA,20/4/23,Yes,Yes,Yes,95,5,Yes,Sample reported
SSC-01-00813,30321,2023 E FO1 P3 S4,Client Sample,NA,20/4/23,Yes,Yes,Yes,86.4,13.6,Yes,Sample reported
